"Plot Title: 10995660"
"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532287)","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532288)","Wind Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Gust Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Temp, °F (LGR S/N: 10995660, SEN S/N: 10553847)","RH, % (LGR S/N: 10995660, SEN S/N: 10553847)","Rain, in (LGR S/N: 10995660, SEN S/N: 10703556)","Snow Depth, inches (LGR S/N: 10995660, SEN S/N: 10933780)","Current, mA (LGR S/N: 10995660, SEN S/N: 10933780)"
53,04/25/19 06:30:00 PM,26.9,4.4,0.00,4.50,67.885,41.400,0.000,-4.62,0.0063
54,04/25/19 07:00:00 PM,15.6,1.9,0.00,5.08,65.745,45.000,0.000,-4.75,0.0063
55,04/25/19 07:30:00 PM,6.9,0.6,0.00,0.00,59.358,62.200,0.000,-4.87,0.0063
56,04/25/19 08:00:00 PM,0.6,0.6,0.00,0.00,55.863,71.000,0.000,-4.62,0.0063
57,04/25/19 08:30:00 PM,0.6,0.6,0.00,0.00,51.325,76.300,0.000,-4.50,0.0063
58,04/25/19 09:00:00 PM,0.6,0.6,0.00,0.00,48.628,81.100,0.000,-4.37,0.0063
59,04/25/19 09:30:00 PM,0.6,0.6,0.00,0.00,46.751,82.900,0.000,-4.25,0.0063
60,04/25/19 10:00:00 PM,0.6,0.6,0.00,0.00,44.901,86.100,0.000,-4.25,0.0063
61,04/25/19 10:30:00 PM,0.6,0.6,0.00,0.00,43.671,87.600,0.000,-4.12,0.0063
62,04/25/19 11:00:00 PM,0.6,0.6,0.00,0.00,42.202,89.400,0.000,-4.00,0.0063
63,04/25/19 11:30:00 PM,0.6,0.6,0.00,0.00,41.554,90.100,0.000,-4.00,0.0063
64,04/26/19 12:00:00 AM,0.6,0.6,0.00,0.00,40.579,91.200,0.000,-4.00,0.0063
65,04/26/19 12:30:00 AM,0.6,0.6,0.00,0.00,39.830,91.900,0.000,-4.00,0.0063
66,04/26/19 01:00:00 AM,0.6,0.6,0.00,0.00,38.795,92.800,0.000,-4.00,0.0063
67,04/26/19 01:30:00 AM,0.6,0.6,0.00,0.00,38.368,93.200,0.000,-4.00,0.0063
68,04/26/19 02:00:00 AM,0.6,0.6,0.00,0.00,37.798,94.200,0.000,-4.00,0.0063
69,04/26/19 02:30:00 AM,0.6,0.6,0.00,0.00,37.465,94.800,0.000,-4.12,0.0063
70,04/26/19 03:00:00 AM,0.6,0.6,0.00,0.00,36.842,94.700,0.000,-4.00,0.0063
71,04/26/19 03:30:00 AM,0.6,0.6,0.00,0.00,36.459,95.200,0.000,-4.12,0.0063
72,04/26/19 04:00:00 AM,0.6,0.6,0.00,0.00,36.072,95.300,0.000,-3.88,0.0063
73,04/26/19 04:30:00 AM,0.6,0.6,0.00,0.00,35.782,95.600,0.000,-4.00,0.0063
74,04/26/19 05:00:00 AM,0.6,0.6,0.00,0.00,35.200,95.800,0.000,-4.12,0.0063
75,04/26/19 05:30:00 AM,0.6,0.6,0.00,0.00,34.858,95.800,0.000,-4.25,0.0063
